         17930710 function calls (17929583 primitive calls) in 23.315 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 core.py:5992(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5994(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6004(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:6006(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6048(_frommethod)
       23    0.000    0.000    0.001    0.000 core.py:6058(__init__)
       23    0.000    0.000    0.001    0.000 core.py:6063(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7273(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7285(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7290(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:734(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:742(__init__)
        1    0.000    0.000    0.000    0.000 core.py:756(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:762(__init__)
        1    0.000    0.000    0.000    0.000 core.py:772(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:774(__init__)
        1    0.000    0.000    0.000    0.000 core.py:789(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:791(__init__)
        1    0.000    0.000    0.000    0.000 core.py:801(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:803(__init__)
        1    0.000    0.000    0.000    0.000 core.py:812(_MaskedUnaryOperation)
       27    0.000    0.000    0.000    0.000 core.py:829(__init__)
        1    0.000    0.000    0.000    0.000 core.py:889(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:908(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:150(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.019    0.019    0.041    0.041 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_qr.py:1(<module>)
        1    0.000    0.000    0.049    0.049 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1672(HtmlDiff)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:46(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:766(Differ)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
       13    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.002    0.002    0.002    0.002 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1464(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1476(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1530(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1546(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:224(_fromnxfunction)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.002    0.002    0.002    0.002 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.002    0.002    0.002    0.002 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.015    0.015    0.024    0.024 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1454(shape)
     2024    0.003    0.000    0.033    0.000 fromnumeric.py:1764(any)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
        2    0.046    0.023    0.047    0.023 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1529(vectorize)
        2    0.000    0.000    0.000    0.000 function_base.py:1644(__init__)
